seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,Arena,datetime,isRegular,game_id,homeTeam_abb,awayTeam_abb,MatchUp,bs_url,pbp_url
2023,Chicago Bulls,121.0,San Antonio Spurs,112.0,18074.0,,8:30p,Frost Bank Center,2023-12-08,1,314,SAS,CHI,CHI@SAS,https://www.basketball-reference.com/boxscores/202312080SAS.html,https://www.basketball-reference.com/boxscores/pbp/202312080SAS.html
2023,Minnesota Timberwolves,127.0,Memphis Grizzlies,103.0,15577.0,,8:00p,FedEx Forum,2023-12-08,1,315,MEM,MIN,MIN@MEM,https://www.basketball-reference.com/boxscores/202312080MEM.html,https://www.basketball-reference.com/boxscores/pbp/202312080MEM.html
2023,Washington Wizards,97.0,Brooklyn Nets,124.0,16587.0,,7:30p,Barclays Center,2023-12-08,1,316,BRK,WAS,WAS@BRK,https://www.basketball-reference.com/boxscores/202312080BRK.html,https://www.basketball-reference.com/boxscores/pbp/202312080BRK.html
2023,New York Knicks,123.0,Boston Celtics,133.0,19156.0,,7:30p,TD Garden,2023-12-08,1,317,BOS,NYK,NYK@BOS,https://www.basketball-reference.com/boxscores/202312080BOS.html,https://www.basketball-reference.com/boxscores/pbp/202312080BOS.html
2023,Atlanta Hawks,114.0,Philadelphia 76ers,125.0,19746.0,,7:00p,Wells Fargo Center,2023-12-08,1,318,PHI,ATL,ATL@PHI,https://www.basketball-reference.com/boxscores/202312080PHI.html,https://www.basketball-reference.com/boxscores/pbp/202312080PHI.html
2023,Detroit Pistons,91.0,Orlando Magic,123.0,18655.0,,7:00p,Amway Center,2023-12-08,1,319,ORL,DET,DET@ORL,https://www.basketball-reference.com/boxscores/202312080ORL.html,https://www.basketball-reference.com/boxscores/pbp/202312080ORL.html
2023,Toronto Raptors,116.0,Charlotte Hornets,119.0,11526.0,,7:00p,Spectrum Center,2023-12-08,1,320,CHA,TOR,TOR@CHA,https://www.basketball-reference.com/boxscores/202312080CHA.html,https://www.basketball-reference.com/boxscores/pbp/202312080CHA.html
2023,Cleveland Cavaliers,111.0,Miami Heat,99.0,19600.0,,8:00p,Kaseya Center,2023-12-08,1,321,MIA,CLE,CLE@MIA,https://www.basketball-reference.com/boxscores/202312080MIA.html,https://www.basketball-reference.com/boxscores/pbp/202312080MIA.html
2023,Indiana Pacers,109.0,Los Angeles Lakers,123.0,19021.0,In-Season Tournament,8:30p,T-Mobile Arena,2023-12-09,1,322,LAL,IND,IND@LAL,https://www.basketball-reference.com/boxscores/202312090LAL.html,https://www.basketball-reference.com/boxscores/pbp/202312090LAL.html
2023,Portland Trail Blazers,127.0,Los Angeles Clippers,132.0,17102.0,,10:30p,Crypto.com Arena,2023-12-11,1,323,LAC,POR,POR@LAC,https://www.basketball-reference.com/boxscores/202312110LAC.html,https://www.basketball-reference.com/boxscores/pbp/202312110LAC.html
2023,Brooklyn Nets,118.0,Sacramento Kings,131.0,17794.0,,10:00p,Golden 1 Center,2023-12-11,1,324,SAC,BRK,BRK@SAC,https://www.basketball-reference.com/boxscores/202312110SAC.html,https://www.basketball-reference.com/boxscores/pbp/202312110SAC.html
